SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
CB2026001,1,420,26,2,1,1,21,18000,140,2540,4,1,1,5,1,1301,1000000
CB2026002,1,400,29,1,1,1,22,24000,160,1650,4,1,1,5,1,1301,1000000
CB2026003,1,300,31,2,1,1,24,52000,260,1650,4,1,1,1,1,1301,1000000
CB2026004,1,340,38,1,1,1,21,128000,460,1021,1,1,1,1,1,1301,1000000
CB2026005,1,330,41,2,1,1,21,98000,420,2635,1,1,1,1,1,1301,1000000
CB2026006,1,310,44,1,1,1,24,115000,501,2205,4,1,1,1,1,1301,1000000
CB2026007,1,300,52,2,1,1,24,132000,501,2205,4,1,1,1,1,1301,1000000
CB2026008,1,380,35,2,1,1,22,54000,300,2310,3,1,1,1,1,1301,1000000
CB2026009,1,350,47,1,1,1,22,58000,320,2320,3,1,1,3,1,1301,1000000
CB2026010,1,360,33,1,1,1,21,28000,180,2600,6,1,1,5,1,1301,1000000
CB2026011,1,340,39,2,1,1,19,26000,170,2752,6,1,1,5,1,1301,1000000
CB2026012,1,320,57,2,1,1,22,45000,280,2600,6,1,1,3,1,1301,1000000
CB2026013,1,420,28,2,1,1,18,21000,130,4110,1,1,1,5,1,1301,1000000
CB2026014,1,430,24,1,1,1,16,19000,110,4020,1,1,1,5,1,1301,1000000
CB2026015,1,340,45,2,1,1,19,52000,290,310,1,1,1,1,1,1301,1000000
CB2026016,1,330,62,1,1,1,16,42000,260,6230,6,1,1,1,1,1301,1000000
CB2026017,1,330,55,2,1,1,21,78000,380,3255,2,1,1,1,1,1301,1000000
CB2026018,1,280,36,1,1,1,24,210000,501,3090,2,1,1,1,1,1301,1000000
CB2026019,1,370,30,2,1,1,22,42000,220,2011,2,1,1,5,1,1301,1000000
CB2026020,1,320,48,2,1,1,22,72000,360,420,2,1,1,1,1,1301,1000000
CB2026021,1,330,68,2,1,1,22,32000,300,0,0,6,1,2,1,1301,1000000
CB2026022,1,300,71,1,1,1,24,60000,420,0,0,6,1,1,1,1301,1000000
CB2026023,1,310,75,2,1,1,16,18000,180,0,0,6,1,2,1,1301,1000000
CB2026024,1,250,82,1,1,1,18,24000,220,0,0,6,1,2,1,1301,1000000
CB2026025,1,400,27,1,1,1,18,24000,150,7340,1,1,1,5,1,1301,1000000
CB2026026,1,360,34,2,1,1,21,30000,200,3960,6,1,1,5,1,1301,1000000
CB2026027,1,340,43,1,1,1,20,46000,280,1910,4,1,1,1,1,1301,1000000
CB2026028,1,330,50,2,1,1,22,52000,310,2430,3,1,1,3,1,1301,1000000
CB2026029,1,380,31,1,1,1,19,30000,190,8256,1,1,1,5,1,1301,1000000
CB2026030,1,400,29,2,1,1,17,22000,140,4760,1,1,1,5,1,1301,1000000
CB2026031,1,320,58,1,1,1,21,58000,340,40,6,1,1,1,1,1301,1000000
CB2026032,1,330,40,2,1,1,21,88000,400,735,1,1,1,1,1,1301,1000000
CB2026033,1,410,25,2,1,1,21,20000,120,2016,2,1,1,5,1,1301,1000000
CB2026034,1,380,37,1,8,2,16,44000,250,310,6,1,4,1,2,1301,1000000
CB2026035,1,300,42,2,6,1,24,105000,430,1650,4,1,4,1,2,1301,1000000
CB2026036,1,320,26,1,6,1,21,16000,130,2540,4,1,5,5,2,1301,1000000
CB2026037,1,330,53,1,2,1,21,40000,240,2040,2,1,1,1,1,1301,1000000
CB2026038,1,330,46,2,2,1,22,68000,350,230,3,1,1,3,1,1301,1000000
CB2026039,1,340,60,1,2,1,16,34000,210,9130,3,1,1,1,1,1301,1000000
CB2026040,1,400,32,2,8,2,17,22000,130,4600,1,1,5,1,2,1301,1000000
CB2026041,1,430,23,2,1,1,18,15000,100,4110,1,1,1,5,1,1301,1000000
CB2026042,1,330,49,1,1,1,21,12000,170,1021,1,3,1,3,1,1301,1000000
CB2026043,1,310,66,2,1,1,20,28000,240,5120,1,1,1,2,1,1301,1000000
CB2026044,1,350,35,1,1,1,21,0,300,0,0,6,1,1,1,1301,1000000
CB2026045,1,380,28,2,1,1,21,34000,190,425,2,1,1,5,1,1301,1000000
CB2026046,1,330,44,2,1,1,19,30000,200,6050,6,1,1,1,1,1301,1000000
CB2026047,1,320,59,2,1,1,22,82000,390,2014,6,1,1,3,1,1301,1000000
CB2026048,1,320,65,1,1,1,16,20000,190,6440,6,1,1,1,1,1301,1000000
